idx,year,type,orig_cod,orig,categoria_cod,categoria,cuenta_cod,cuenta,concepto,cantidad
1,2012,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Equipos informáticos y sofware - Modernización Sede Regional,8000
2,2012,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Varios (obra comunidad),2000
3,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Tributos y Contribuciones,3200
4,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Agua,700
5,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Electricidad,11000
6,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Teléfono,20000
7,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Comunicaciones (servidor, web, centralita - megafonía)",12000
8,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Reparación, conservación edificios y mobiliario",10000
9,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Comunidad Copropietarios,5000
10,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos informáticos,12000
11,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos oficina,20000
12,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Material de Oficina,6000
13,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Documentación técnica y suscripciones,12000
14,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Correos y envíos,15000
15,2012,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Gastos varios e imprevistos,2000
16,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Relaciones públicas CER y GPS,22000
17,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Gastos viajes,24000
18,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,"Reuniones, jornadas, conferencias y cursos",12000
19,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Boletines,12000
20,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Campañas Publicidad ,6000
21,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Otros Gastos,1000
22,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Día de la Rosa,45000
23,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Comités Regionales - CER,3000
24,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Congreso Regional (y Federal) – Conferencia Politica 2013,50000
25,2012,expenditure-budget,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Otros gastos vinculados a actos públicos,3000
26,2012,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Boletines,10000
27,2012,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinarias,9000
28,2012,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinaria Tudela,10200
29,2012,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Juventudes Socialistas,3000
30,2012,expenditure-budget,1,CER,4,Otros gastos de Administración,5,Subvenciones a fundaciones,Otras fundaciones,1500
31,2012,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Asesoría Laboral,6000
32,2012,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Estudios sociológicos,25000
33,2012,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Trabajos realizados por otras empresas,10000
34,2012,expenditure-budget,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Jurídicos y Contenciosos,1500
35,2012,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Salarios,115000
36,2012,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Colaboradores,6000
37,2012,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Gastos varios colaboradores,12000
38,2012,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Seguridad Social,34000
39,2012,expenditure-budget,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Otros gastos sociales,5000
40,2012,expenditure-budget,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Amortizaciones e intereses ,10616.65
41,2012,expenditure-budget,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Déficit ejercicio 2011,60671.35
42,2012,expenditure-implementation,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Equipos informáticos y sofware - Modernización Sede Regional,3543.92
43,2012,expenditure-implementation,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Varios (obra comunidad),44351.32
44,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Tributos y Contribuciones,3061.54
45,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Agua,406.68
46,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Electricidad,14330.33
47,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Teléfono,22646.1
48,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Comunicaciones (servidor, web, centralita - megafonía)",1807.62
49,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Reparación, conservación edificios y mobiliario",10985.59
50,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Comunidad Copropietarios,3696
51,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos informáticos,12882.56
52,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos oficina,20028.45
53,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Material de Oficina,7607.1
54,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Documentación técnica y suscripciones,13530.62
55,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Correos y envíos,17402.58
56,2012,expenditure-implementation,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Gastos varios e imprevistos,0
57,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Relaciones públicas CER y GPS,28421.88
58,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Gastos viajes,37608.59
59,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,"Reuniones, jornadas, conferencias y cursos",8890.38
60,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Boletines,6738.26
61,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Campañas Publicidad ,1528.3
62,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,3,Actividad Política Ordinaria,Otros Gastos,14
63,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Día de la Rosa,22941.78
64,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Comités Regionales - CER,0
65,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Congreso Regional (y Federal) – Conferencia Politica 2013,81826.34
66,2012,expenditure-implementation,2,CER-GPS,3,Actividades del Partido,4,Actos Públicos y Políticos,Otros gastos vinculados a actos públicos,0
67,2012,expenditure-implementation,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Boletines,758.45
68,2012,expenditure-implementation,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinarias,8723.06
69,2012,expenditure-implementation,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Extraordinaria Tudela,10585
70,2012,expenditure-implementation,1,CER,4,Otros gastos de Administración,5,Subvenciones a agrupaciones locales,Juventudes Socialistas,5370
71,2012,expenditure-implementation,1,CER,4,Otros gastos de Administración,5,Subvenciones a fundaciones,Otras fundaciones,50
72,2012,expenditure-implementation,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Asesoría Laboral,4229.76
73,2012,expenditure-implementation,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Estudios sociológicos,0
74,2012,expenditure-implementation,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Trabajos realizados por otras empresas,6350.91
75,2012,expenditure-implementation,2,CER-GPS,4,Otros gastos de Administración,6,Trabajo con empresas externas,Jurídicos y Contenciosos,1707.84
76,2012,expenditure-implementation,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Salarios,190457.13
77,2012,expenditure-implementation,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Colaboradores,15771
78,2012,expenditure-implementation,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Gastos varios colaboradores,2830.68
79,2012,expenditure-implementation,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Seguridad Social,55597.83
80,2012,expenditure-implementation,2,CER-GPS,5,Gastos de Personal,7,Gastos de Personal,Otros gastos sociales,5129.3
81,2012,expenditure-implementation,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Amortizaciones e intereses ,373.05
82,2012,expenditure-implementation,2,CER-GPS,6,Gastos Financieros,8,Amortizaciones e intereses,Déficit ejercicio 2011,0
83,2013,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Equipos informáticos y sofware - Modernización Sede Regional,3000
84,2013,expenditure-budget,1,CER,1,Otros gastos de Administración,1,Inversiones – Plan de Modernización,Varios (obra comunidad),4500
85,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Tributos y Contribuciones,3000
86,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Agua,500
87,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Electricidad,12000
88,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Teléfono,20000
89,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Comunicaciones (servidor, web, centralita - megafonía)",1500
90,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,"Reparación, conservación edificios y mobiliario",10000
91,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Comunidad Copropietarios,3700
92,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos informáticos,13000
93,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Mantenimiento equipos oficina,20000
94,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Material de Oficina,4000
95,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Documentación técnica y suscripciones,12000
96,2013,expenditure-budget,2,CER-GPS,2,Adquisición Bienes y Servicios,2,Gastos Corrientes y Ordinarios,Correos y envíos,11500
